departamento_id,departamento,provincia_id
86056,Copo,86
2070,Comuna 10,2
6098,Berisso,6
6147,Carlos Casares,6
6315,General Juan Madariaga,6
6441,La Plata,6
6497,Luján,6
6547,Monte,6
6560,Moreno,6
6623,Pergamino,6
6686,Rojas,6
14084,Presidente Roque Sáenz Peña,14
14154,Sobremonte,14
14161,Tercero Arriba,14
18140,San Luis del Palmar,18
22028,Chacabuco,22
22036,12 de Octubre,22
26049,Gastre,26
38070,Santa Bárbara,38
50014,General Alvear,50
54035,Concepción,54
58056,Lácar,58
58098,Picún Leufú,58
66063,Guachipas,66
70042,Chimbas,70
82063,La Capital,82
86007,Aguirre,86
90091,Simoca,90
2042,Comuna 6,2
6049,Azul,6
6231,Daireaux,6
6351,General Pinto,6
6408,Hurlingham,6
6511,Maipú,6
6581,Necochea,6
6638,Pilar,6
6756,San Isidro,6
6763,San Nicolás,6
6791,Tandil,6
10112,Valle Viejo,10
14063,Marcos Juárez,14
14119,Río Segundo,14
14140,San Justo,14
22147,San Lorenzo,22
30084,Paraná,30
34028,Matacos,34
38035,Ledesma,38
46035,Chamical,46
46105,Independencia,46
58021,Catán Lil,58
62021,Bariloche,62
90098,Tafí del Valle,90
94011,Tolhuin,94
2098,Comuna 14,2
6028,Almirante Brown,6
6490,Lomas de Zamora,6
6568,Morón,6
6655,Punta Indio,6
6658,Quilmes,6
6707,Saladillo,6
6847,Tres Lomas,6
10021,Andalgalá,10
10042,Capayán,10
14077,Pocho,14
18042,Empedrado,18
18063,General Paz,18
22039,2 de Abril,22
22105,9 de Julio,22
22133,Quitilipi,22
30021,Diamante,30
30049,Gualeguay,30
30088,San Salvador,30
42021,Capital,42
42035,Conhelo,42
46049,Famatina,46
50035,Junín,50
54028,Capital,54
54098,San Ignacio,54
54119,25 de Mayo,54
62042,General Roca,62
62070,Pilcaniyeu,62
66028,Capital,66
78028,Lago Argentino,78
78042,Magallanes,78
78049,Río Chico,78
86119,Moreno,86
86133,Pellegrini,86
6119,Brandsen,6
6210,Chacabuco,6
6322,General La Madrid,6
6385,General Viamonte,6
6420,La Costa,6
6805,Tigre,6
10049,Capital,10
14021,Colón,14
14182,Unión,14
18021,Capital,18
18070,Goya,18
18077,Itatí,18
18119,Paso de los Libres,18
18168,Santo Tomé,18
22056,General Donovan,22
26084,Río Senguer,26
34063,Ramón Lista,34
38014,El Carmen,38
46014,Capital,46
50028,Guaymallén,50
50063,Luján de Cuyo,50
54077,Libertador General San Martín,54
54091,Oberá,54
58028,Collón Curá,58
66049,General Güemes,66
70035,Caucete,70
74042,Gobernador Dupuy,74
82049,General Obligado,82
82077,9 de Julio,82
86028,Avellaneda,86
86084,Guasayán,86
86147,Río Hondo,86
86175,San Martín,86
90028,Famaillá,90
2021,Comuna 3,2
6042,Ayacucho,6
6274,Florencio Varela,6
6308,General Guido,6
6371,General San Martín,6
6693,Roque Pérez,6
6735,San Antonio de Areco,6
6760,San Miguel,6
6875,Villarino,6
10007,Ambato,10
14133,San Javier,14
18154,San Miguel,18
18161,San Roque,18
22112,O'Higgins,22
26007,Biedma,26
30035,Federal,30
30113,Villaguay,30
42007,Atreucó,42
62056,Ñorquinco,62
62077,San Antonio,62
66035,Cerrillos,66
66042,Chicoana,66
66098,La Viña,66
66105,Los Andes,66
70028,Capital,70
70049,Iglesia,70
70091,San Martín,70
74056,Juan Martín de Pueyrredón,74
82042,General López,82
82070,Las Colonias,82
86063,Choya,86
86070,Figueroa,86
86077,General Taboada,86
90084,Capital,90
2007,Comuna 1,2
2035,Comuna 5,2
6056,Bahía Blanca,6
6245,Ensenada,6
6252,Escobar,6
6357,General Pueyrredón,6
6525,Marcos Paz,6
6574,Navarro,6
6602,Patagones,6
6728,San Andrés de Giles,6
6840,Tres de Febrero,6
10070,La Paz,10
18007,Bella Vista,18
22043,Fray Justo Santa María de Oro,22
26105,Telsen,26
30105,Victoria,30
34049,Pilcomayo,34
34056,Pirané,34
42028,Catriló,42
46091,General San Martín,46
46119,San Blas de Los Sauces,46
54021,Candelaria,54
62091,25 de Mayo,62
66056,General José de San Martín,66
66070,Iruya,66
66084,La Candelaria,66
66154,San Carlos,66
86189,Silípica,86
90035,Graneros,90
2028,Comuna 4,2
6007,Adolfo Alsina,6
6126,Campana,6
6154,Carlos Tejedor,6
6168,Castelli,6
